CHEMICAL VVL,CHEMICAL NAME,NATURALLY OCCURRING,UNITS,COMPARISON CONCENTRATION (VALUE),COMPARISON CONCENTRATION TYPE,DDW (WQM),DDW (SDWIS),DPR,DWR,WB CLEANUP (EDF),GAMA DOM (EL_DORADO),GAMA SP-STUDY (LLNL),GAMA DOM (TEHAMA),GAMA USGS,GAMA DOM (YUBA),WRD,USGS (NWIS)
CR,Chromium,X,UG/L,50,MCL,1034,1020,,Total Chromium,CR,CHROMIUM (TOTAL),,CR,"Chromium, wf","Chromium, GFAA @ 1 ug/ L",1034,"Chromium, bed sediment, recoverable, dry weight, milligrams per kilogram -- Chromium, suspended sediment, recoverable, micrograms per liter -- Chromium, water, filtered, micrograms per liter -- Chromium, water, unfiltered, recoverable, micrograms per liter"
CR6,"Chromium, Hexavalent (Cr6)",X,UG/L,20,HBSL,1032,1080,,,CR6,,,,"Chromium(VI), wf",,1032,"Chromium(VI), water, filtered, micrograms per liter as Cr"
CO,Cobalt,X,UG/L,0,No Comparison Conc.,1035,1081,,,CO,,,,"Cobalt, wf",,1035,
CODEINE,Codeine ,,UG/L,0,No Comparison Conc.,,,,,CODEINE,,,,"Codeine, wf",,,
CU,Copper,X,MG/L,1.3,Action Level,1042,1022,,Dissolved Copper -- Total Copper,CU,COPPER,,CU,"Copper, wf","Copper, FAA",1042,"Copper, bed sediment, recoverable, dry weight, milligrams per kilogram -- Copper, suspended sediment, recoverable, micrograms per liter -- Copper, water, filtered, micrograms per liter -- Copper, water, unfiltered, recoverable, micrograms per liter"
COTININE,Cotinine ,,UG/L,0,No Comparison Conc.,,,,,COTININE,,,,"Cotinine, wf",,,
CYANAZ,Cyanazine,,UG/L,0.3,HBSL,81757,2054,,Cyanazine,CYANAZ,,,,"Cyanazine, wf",,81757,"Cyanazine, water, filtered, recoverable, micrograms per liter -- Cyanazine, water, filtered, recoverable, nanograms per liter -- Cyanazine, water, unfiltered, recoverable, micrograms per liter"
CN,Cyanide (CN),,UG/L,150,MCL,1291,1024,,,CN,Cyanide (Total),,CN,,,1291,"Cyanide, water, filtered, milligrams per liter -- Cyanide, water, unfiltered, milligrams per liter"
CYPERM,Cypermethrin,,UG/L,40,HBSL,,,2171,,CYPERM,,,,"Cypermethrin, wf",,,"Cypermethrin, water, filtered, recoverable, micrograms per liter"
DACTH,Dacthal,,UG/L,70,HBSL,39770,2099,,Dacthal (DCPA),DACTH,,,,"DCPA, w,gf<.7u",,39770,
METABOLITES,Dacthal Monoacide,,UG/L,0,No Comparison Conc.,,,,,METABOLITES,,,,"DCPA monoacid, w,gf<.7u",,,
DACTACID,Dacthalmonoacid,,UG/L,0,No Comparison Conc.,,,,,DACTACID,,,,"DCPA monoacid, w,gf<.7u",,,
