"GEOID","CRF1","CRF2","CRF3","CL1","CL2","highsec","medsec","datasec","areasec","usgsdw_sum","oswcrdw_sum","CRF4","oswcr_per","usgs_per","wq_score","wq_per","datacov"
"060373203002",0,1,0,"","NO3N",0,1,1,2,0.62,0,25,0,20,12.5,6,50
"060373203003",0,1,0,"","NO3N",0,2,2,2,0.23,0,50,0,13,25,12,100
"060373203004",0,1,0,"","NO3N",0,1,1,2,3.21,0,25,0,42,12.5,6,50
"060373203006",0,1,0,"","NO3N",0,2,2,4,2.15,0,25,0,36,12.5,6,50
"060374003021",2,2,1.75,"PCATE; NO3N","PCATE; NO3N",3,0,3,3,0.03,0,100,0,4,317.48,76,100
"060374006022",2,2,1.15,"PCATE; NO3N","PCATE; NO3N",2,0,4,4,0.57,0,50,0,20,155.74,51,100
"060374006023",2,2,1.15,"PCATE; NO3N","PCATE; NO3N",1,0,2,2,0.05,0,50,0,6,155.74,51,100
"060374008001",2,2,1.15,"PCATE; NO3N","PCATE; NO3N",1,0,2,4,31.03,0,25,0,74,77.87,30,50
"060374010011",0,1,0,"","NO3N",0,1,1,1,8.09,0,50,0,57,25,12,100
"060374010012",0,1,0,"","NO3N",0,2,2,2,0.62,0,50,0,20,25,12,100
"060374017011",4,2,25.24,"NNSM; NO3N; PCATE; TCPR123","NO3N; PCATE",2,0,2,2,0.12,0,100,0,9,752.44,95,100
"060374018002",6,3,18.28,"NNSM; NO3N; TCPR123; PCATE; TCE; AS","NO3N; PCATE; TCE",4,0,5,5,0.29,0,80,0,14,746.22,95,100
"060374020011",8,4,11.34,"NNSM; DCE11; NO3N; PCATE; TCPR123; CR6; TCE; AS","DCE11; NO3N; PCATE; TCE",1,0,2,2,0.37,0,50,0,16,556.69,90,100
"060374020012",8,4,11.34,"NNSM; DCE11; NO3N; PCATE; TCPR123; CR6; TCE; AS","DCE11; NO3N; PCATE; TCE",1,0,1,1,0.21,0,100,0,12,1113.37,99,100
"060374022002",6,4,12.66,"NNSM; DCE11; NO3N; PCATE; CR6; PCE","DCE11; NO3N; PCATE; PCE",3,0,3,3,1.15,0,100,0,27,926.58,98,100
"060374023011",5,4,1.43,"DCE11; NO3N; PCATE; CR6; PCE","DCE11; NO3N; PCATE; PCE",2,0,2,2,19.22,0,100,0,69,714.27,94,100
"060374023012",5,4,1.43,"DCE11; NO3N; PCATE; CR6; PCE","DCE11; NO3N; PCATE; PCE",2,0,2,2,77.84,0,100,0,83,714.27,94,100
"060374023032",6,5,1.47,"DCE11; PCE; NO3N; PCATE; CR6; TCE","DCE11; PCE; NO3N; PCATE; TCE",2,0,2,2,0.27,0,100,0,14,864.67,96,100
"060374023033",5,4,1.47,"DCE11; NO3N; PCATE; CR6; PCE","DCE11; NO3N; PCATE; PCE",1,0,1,1,0.86,0,100,0,24,714.72,94,100
"060374023034",5,4,1.47,"DCE11; NO3N; PCATE; CR6; PCE","DCE11; NO3N; PCATE; PCE",1,0,1,1,2.34,0,100,0,37,714.72,94,100
"060374023041",6,5,1.61,"DCE11; PCE; NO3N; PCATE; CR6; TCE","DCE11; PCE; NO3N; PCATE; TCE",4,0,4,4,11.96,0,100,0,62,866.1,97,100
"060374023042",6,5,1.65,"DCE11; PCE; NO3N; PCATE; CR6; TCE","DCE11; PCE; NO3N; PCATE; TCE",3,0,3,3,1.13,0,100,0,27,866.53,97,100
"060374025011",5,5,1.75,"PCE; NO3N; PCATE; TCE; DCE11","PCE; NO3N; PCATE; TCE; DCE11",2,0,2,2,0.31,0,100,0,15,767.53,95,100
"060374025012",5,5,1.75,"PCE; NO3N; PCATE; TCE; DCE11","PCE; NO3N; PCATE; TCE; DCE11",2,0,2,2,0.11,0,100,0,9,767.53,95,100
