"GEOID","wq_risk","comb_risk","wq_score","ex_risk","Pop18","adj_dw","statesmallcount","dwss_cou","dwss_den","DAC_status"
"060372764001",0,0,0,0,1079,0,0,0,0,"None"
"060372764002",0,0,0,0,815,0,0,0,0,"None"
"060372764003",0,0,0,0,893,0,0,0,0,"None"
"060372764004",0,0,0,0,714,0,0,0,0,"None"
"060372764005",0,0,0,0,574,0,0,0,0,"None"
"060372765002",0,0,0,0,2097,0,0,0,0,"None"
"060372766011",0,0,0,0,1187,0,0,0,0,"None"
"060372766012",0,0,0,0,1083,0,0,0,0,"None"
"060372766013",0,0,0,0,627,0,0,0,0,"None"
"060372766014",0,0,0,0,1232,0,0,0,0,"None"
"060372766031",0,0,0,0,2003,0,0,0,0,"None"
"060372766032",0,0,0,0,3332,0,0,0,0,"None"
"060372766041",0,0,0,0,2266,0,0,0,0,"None"
"060372766042",0,0,0,0,2151,0,0,0,0,"None"
"060372770001",0,0,0,0,1154,0,0,0,0,"None"
"060372770002",0,0,0,0,729,0,0,0,0,"None"
"060372770003",0,0,0,0,1180,0,0,0,0,"None"
"060372770004",0,0,0,0,857,0,0,0,0,"None"
"060372770005",0,0,0,0,1516,0,0,0,0,"None"
"060372771001",0,0,0,0,989,0,0,0,0,"None"
"060372771002",0,0,0,0,864,0,0,0,0,"None"
"060372771003",0,0,0,0,1262,0,0,0,0,"None"
"060372772002",0,0,0,0,0,0,0,0,0,"Data Not Available"
"060372780011",0,0,0,0,1124,0,0,0,0,"None"
"060372780012",0,0,0,0,1369,0,0,0,0,"None"
"060372781021",0,0,0,0,558,0,0,0,0,"None"
"060372911101",0,0,0,0,2545,0,0,0,0,"SDAC"
"060372911102",0,0,0,0,1514,0,0,0,0,"DAC"
"060372920001",0,0,0,0,965,0,0,0,0,"None"
"060372920004",0,0,0,0,688,0,0,0,0,"None"
"060372932011",0,0,0,0,1483,0,0,0,0,"DAC"
"060372932012",0,0,0,0,2490,0,0,0,0,"None"
"060372932013",0,0,0,0,2785,0,0,0,0,"None"
