"WELL_ID","PRF1","PRF2","PRF3","PL1","PL2","risk","LATITUDE","LONGITUDE","SOURCE"
"SB-02",0,0,NA,"","","low",34.43672222,-119.83572222,"USGS"
"SB-03",0,0,NA,"","","low",34.44408333,-119.79958333,"USGS"
"SB-04",0,0,NA,"","","low",34.43111111,-119.79627778,"USGS"
"SB-05",0,0,NA,"","","low",34.45219444,-119.78155556,"USGS"
"SB-06",0,0,NA,"","","low",34.43616667,-119.77422222,"USGS"
"SB-07",0,0,NA,"","","low",34.44611111,-119.75561111,"USGS"
"SB-08",0,0,NA,"","","low",34.43747222,-119.74638889,"USGS"
"SB-09",0,0,NA,"","","low",34.44383333,-119.66172222,"USGS"
"SB-10",0,0,NA,"","","low",34.41888526,-119.64290893,"USGS"
"SB-11",0,0,NA,"","","low",34.42052778,-119.63369444,"USGS"
"SB-12",0,0,NA,"","","low",34.43922222,-119.62644444,"USGS"
"SB-13",0,0,NA,"","","low",34.42736111,-119.62041667,"USGS"
"SB-14",1,0,1.185,"F","","high",34.43175,-119.57308333,"USGS"
"SB-15",0,0,NA,"","","low",34.40502778,-119.52847222,"USGS"
"SB-16",0,0,NA,"","","low",34.40236111,-119.50711111,"USGS"
"SB-17",0,0,NA,"","","low",34.38847222,-119.46505556,"USGS"
"SB-18",0,0,NA,"","","low",34.39416667,-119.45747222,"USGS"
"SBU-01",0,0,NA,"","","low",34.43708333,-119.78563889,"USGS"
"SBU-02",0,0,NA,"","","low",34.41911111,-119.69455556,"USGS"
"SBU-03",0,0,NA,"","","low",34.41911111,-119.69455556,"USGS"
"SBU-04",0,0,NA,"","","low",34.41911111,-119.69455556,"USGS"
"SBU-05",0,0,NA,"","","low",34.41911111,-119.69455556,"USGS"
"SBU-06",0,0,NA,"","","low",34.42725,-119.69355556,"USGS"
"SCRC-B01",0,0,NA,"","","low",35.10530556,-120.61047222,"USGS"
"SCRC-B02",0,0,NA,"","","low",35.25330556,-120.68788889,"USGS"
"SCRC-B03",0,0,NA,"","","low",34.89783333,-120.47344444,"USGS"
"SCRC-B05",0,1,NA,"","NO3N","med",34.90372222,-120.39055556,"USGS"
"SCRC-B06",0,0,NA,"","","low",34.85238889,-120.37958333,"USGS"
"SCRC-B07",0,0,NA,"","","low",34.74502778,-120.29236111,"USGS"
"SCRC-B08",0,0,NA,"","","low",34.61388889,-120.19652778,"USGS"
"SCRC-B09",0,0,NA,"","","low",34.64255556,-120.05358333,"USGS"
"SCRC-B10",0,0,NA,"","","low",34.74075,-120.27036111,"USGS"
"SCRC-B11",1,0,1.585,"AS","","high",34.66081639,-120.4490518,"USGS"
"SCRC-B12",0,0,NA,"","","low",34.60266667,-120.11144444,"USGS"
"SCRC-B13",0,0,NA,"","","low",34.62094444,-120.08536111,"USGS"
"SCRC-B14",0,0,NA,"","","low",34.91372222,-120.4575,"USGS"
"SCRC-B15",0,0,NA,"","","low",34.95791667,-120.50880556,"USGS"
"SCRC-B16",1,0,4.235,"NO3N","","high",34.93447222,-120.42702778,"USGS"
"SCRC-B17",0,0,NA,"","","low",34.96775563,-120.40960683,"USGS"
