GEOID,CRF1,CRF2,CRF3,CL1,CL2,highsec,medsec,datasec,areasec,CRF4,wq_score,wq_per,datacov
60371064033,1,1,1.19,NO3N,NO3N,2,1,3,3,83.33,134.9,48,100
60371064053,1,1,1.19,NO3N,NO3N,1,0,1,1,100,161.88,54,100
60371064071,1,1,1.19,NO3N,NO3N,1,1,2,2,75,121.41,44,100
60371064072,1,1,1.19,NO3N,NO3N,1,0,1,1,100,161.88,54,100
60371064081,1,1,1.19,NO3N,NO3N,1,0,1,1,100,161.88,54,100
60371064082,1,1,1.19,NO3N,NO3N,1,0,1,1,100,161.88,54,100
60371066041,1,1,1.19,NO3N,NO3N,1,0,3,3,33.33,53.96,22,100
60371066042,1,1,1.19,NO3N,NO3N,1,0,2,2,50,80.94,31,100
60371066043,1,1,1.19,NO3N,NO3N,1,0,1,1,100,161.88,54,100
60371066491,0,1,0,,NO3N,0,1,1,1,50,25,12,100
60371066492,1,1,1.19,NO3N,NO3N,1,1,4,4,37.5,60.7,26,100
60371190011,4,3,2.74,TCE; PCE; TCPR123; DCE11,PCE; NO3N; DCE11,1,0,1,1,100,577.36,91,100
60371190012,5,4,2.26,TCE; PCE; TCPR123; CTCL; DCE11,TCE; PCE; NO3N; DCE11,4,0,4,4,100,722.58,95,100
60371190013,5,4,2.26,TCE; PCE; TCPR123; CTCL; DCE11,TCE; PCE; NO3N; DCE11,4,0,4,4,100,722.58,95,100
60371190021,5,4,2.39,TCE; PCE; TCPR123; CTCL; DCE11,TCE; PCE; NO3N; DCE11,2,0,2,4,50,361.97,80,50
60371190022,5,4,2.39,TCE; PCE; TCPR123; CTCL; DCE11,TCE; PCE; NO3N; DCE11,2,0,2,2,100,723.94,95,100
60371190023,5,4,2.12,TCE; PCE; TCPR123; CTCL; DCE11,TCE; PCE; NO3N; DCE11,1,0,1,1,100,721.21,94,100
60371190024,5,4,2.39,TCE; PCE; TCPR123; CTCL; DCE11,TCE; PCE; NO3N; DCE11,2,0,2,2,100,723.94,95,100
60371190025,4,3,2.74,TCE; PCE; TCPR123; DCE11,PCE; NO3N; DCE11,1,0,1,2,50,288.68,73,50
60371192011,4,3,2.74,TCE; PCE; TCPR123; DCE11,PCE; NO3N; DCE11,1,0,1,1,100,577.36,91,100
60371192012,4,3,2.74,TCE; PCE; TCPR123; DCE11,PCE; NO3N; DCE11,1,0,1,1,100,577.36,91,100
60371192013,4,3,2.74,TCE; PCE; TCPR123; DCE11,PCE; NO3N; DCE11,1,0,1,2,50,288.68,73,50
60371192021,4,3,2.74,TCE; PCE; TCPR123; DCE11,PCE; NO3N; DCE11,1,0,1,3,33.33,192.45,61,33.33
60371192024,4,3,2.74,TCE; PCE; TCPR123; DCE11,PCE; NO3N; DCE11,1,0,1,4,25,144.34,50,25
60371193101,4,3,2.74,TCE; PCE; TCPR123; DCE11,PCE; NO3N; DCE11,1,0,1,2,50,288.68,73,50
60371193102,4,3,2.74,TCE; PCE; TCPR123; DCE11,PCE; NO3N; DCE11,1,0,1,2,50,288.68,73,50
60371193411,4,3,2.74,TCE; PCE; TCPR123; DCE11,PCE; NO3N; DCE11,2,0,2,4,50,288.68,73,50
60371193421,4,3,2.74,TCE; PCE; TCPR123; DCE11,PCE; NO3N; DCE11,1,0,1,2,50,288.68,73,50
60371194001,4,3,2.74,TCE; PCE; TCPR123; DCE11,PCE; NO3N; DCE11,1,0,1,1,100,577.36,91,100
60371194002,5,4,2.39,TCE; PCE; TCPR123; CTCL; DCE11,TCE; PCE; NO3N; DCE11,2,0,2,2,100,723.94,95,100
60371194003,5,4,2.39,TCE; PCE; TCPR123; CTCL; DCE11,TCE; PCE; NO3N; DCE11,2,0,2,2,100,723.94,95,100
60371194004,4,3,2.74,TCE; PCE; TCPR123; DCE11,PCE; NO3N; DCE11,2,0,2,2,100,577.36,91,100
